"","title","appears.on","artist","writers","producer","released","streak"
"1","Shop Around","The Ultimate Collection (Motown)","Smokey Robinson and the Miracles","Berry Gordy, Robinson","Gordy","Dec. '60, Tamla","16 weeks; No. 2"
"2","Buddy Holly","Weezer (Geffen)","Weezer","Rivers Cuomo","Ric Ocasek","Aug. '94, DGC","21 weeks; No. 18"
"3","Miss You","Some Girls (Virgin)","The Rolling Stones","Mick Jagger, Keith Richards","The Glimmer Twins","May '78, Rolling Stones","20 weeks; No. 1"
"4","The Rising","The Rising (Columbia)","Bruce Springsteen","Springsteen","Brendan O'Brien","July '02, Columbia","11 weeks; No. 52"
"5","Running on Empty","Running on Empty (Elektra)","Jackson Browne","Browne","Browne","Jan. '77, Asylum","17 weeks; No. 11"
"6","Brown Sugar","Sticky Fingers (Virgin)","The Rolling Stones","Mick Jagger, Keith Richards","Jimmy Miller","April '71, Rolling Stones","12 weeks; No. 1"
"7","Ignition (Remix)","Chocolate Factory (Jive)","R. Kelly","Kelly","Kelly","Oct. '02, Jive","42 weeks; No. 2"
"8","Time to Pretend","Oracular Spectacular (Columbia)","MGMT","Ben Goldwasser, Andrew VanWyngarden","Dave Fridmann","Jan '08, Columbia","Did Not Chart"
"9","I Will Survive","I Will Survive: The Anthology (Polygram)","Gloria Gaynor","Dino Fekaris, Freddie Perren","Fekaris, Perren","Dec. '78, Polydor","27 weeks; No. 1"
"10","I Love Rock N Roll","I Love Rock 'N Roll (Blackheart)","Joan Jett and the Blackhearts","Jake Hooker, Alan Merrill","Ritchie Cordell, Kenny Laguna","Jan. '82, Boardwalk","20 weeks; No. 1"
"11","Clocks","A Rush of Blood to the Head (Capitol)","Coldplay","Coldplay","Ken Nelson, Mark Phythian","Aug. '02, Capitol","22 weeks; No. 29"
"12","Under the Boardwalk","The Very Best of the Drifters (Rhino)","The Drifters","Arthur Resnick, Kenny Young","Bert Berns","June '64, Atlantic","33 weeks; No. 4"
"13","Just Like Heaven","Kiss Me, Kiss Me, Kiss Me (Elektra)","The Cure","Robert Smith, Simon Gallup, Porl Thompson, Lol Tolhurst, Boris Williams","David Allen, Smith","May '87, Elektra","19 weeks; No. 40"
"14","Im Eighteen","Love It to Death (Warner Bros.)","Alice Cooper","Michael Bruce, Glen Buxton, Cooper, Dennis Dunway, Neal Smith","Bob Erzin, Jack Richardson","Feb. '71, Warner Bros.","13 weeks; No. 21"
"15","Young Americans","Young Americans (Virgin)","David Bowie","Bowie","Tony Visconti","March '75, RCA","11 weeks; No. 28"
"16","Lady Marmalade","Nightbirds (Epic)","LaBelle","Bob Crewe, Kenny Nolan","Allen Toussaint","Jan. '75, Epic","18 weeks; No. 1"
"17","Cry Me a River","Justified (Jive)","Justin Timberlake","Timbaland, Scott Storch, Timberlake","Timbaland","Nov. '02, Jive","20 weeks; No. 3"
"18","White Rabbit","Surrealistic Pillow (RCA)","Jefferson Airplane","Grace Slick","Rick Jarrard","Sept. '67, RCA","10 weeks; No. 8"
"19","Since U Been Gone","Breakaway (RCA)","Kelly Clarkson","Dr. Luke, Max Martin","Dr. Luke, Martin","Nov. '04, RCA","46 weeks; No. 2"
"20","Super Freak","Street Songs (Motown)","Rick James","James, Alonzo Miller","James","Aug. '81, Gordy","24 weeks; No. 16"
"21","Sabotage","Ill Communication (Capitol)","Beastie Boys","Beastie Boys","Beastie Boys, Mario Caldato Jr.","May '94, Grand Royal","Did Not Chart"
"22","I Want to Know What Love Is","Agent Provocateur (Atlantic)","Foreigner","Mick Jones","Jones, Alex Sadkin","Nov. '84, Atlantic","21 weeks; No. 1"
"23","Last Nite","Is This It (RCA)","The Strokes","Julian Casablancas","Gordon Raphael","Aug. '01, RCA","Did Not Chart"
"24","How Soon Is Now?","Meat Is Murder (Warner Bros.)","The Smiths","Johnny Marr, Morrissey","John Porter","Feb. '85, Sire","Did Not Chart"
"25","Do Right Woman — Do Right Man","I Never Loved a Man the Way I Love You (Rhino)","Aretha Franklin","Chips Moman, Dan Penn","Jerry Wexler","March '67, Atlantic","11 weeks; No. 9"
"26","Where Did Our Love Go","The Ultimate Collection (Motown)","The Supremes","Brian Holland, Lamont Dozier, Eddie Holland","Brian Holland, Dozier","June '64, Motown","14 weeks; No. 1"
"27","Into the Mystic","Moondance (Warner Bros.)","Van Morrison","Morrison","Morrison","March '70, Warner Bros.","Non-Single"
"28","Welcome to the Jungle","Appetite for Destruction (Geffen)","Guns N' Roses","Guns n' Roses","Mike Clink","Aug. '87, Geffen","17 weeks; No. 7"
"29","Runaway","Greatest Hits (Rhino)","Del Shannon","Shannon, Max Crook","Harry Balk, Irving Micahnik","March '61, Big Top","17 weeks; No. 1"
"30","Surrender","Heaven Tonight (Epic)","Cheap Trick","Rick Nielsen","Tom Werman","May '78, Epic","8 weeks; No. 62"
"31","Standing in the Shadows of Love","The Ultimate Collection (Motown)","The Four Tops","Brian Holland, Lamont Dozier, Eddie Holland","Brian Holland, Dozier","Dec. '66, Motown","10 weeks; No. 6"
"32","Rain","Past Masters (Capitol/Apple)","The Beatles","John Lennon, Paul McCartney","George Martin","June ’66, Capitol","7 weeks; No. 23"
